Noise Type,Noise Intensity,mAP,Precision,Recall,Avg Detections,Avg Displacement,Avg Velocity,Avg Optical Flow,Detection Stability,Movement Stability,Avg Denoise Time (ms)
Original (No Noise),0,0.5653433799743652,0.5653433799743652,1.0,18.3015873015873,2.3342407574975934,2.3342407574975934,1.8213557,0.06504191937294944,0.36643281935984034,0.0
Salt & Pepper Low,5,0.65726637840271,0.65726637840271,1.0,12.714285714285714,2.9523498011138933,2.9523498011138933,1.8497015,0.13973601577661146,0.7655623284168566,6.436699079365079
Salt & Pepper Medium,10,0.6223840117454529,0.6223840117454529,1.0,12.984126984126984,2.4285331835435837,2.4285331835435837,1.8380104,0.12613625344665153,0.5074731171673675,6.658742698412699
Salt & Pepper High,15,0.7432559728622437,0.7432559728622437,1.0,7.174603174603175,4.015549745615663,4.015549745615663,1.8604205,0.31563594132907136,0.6504960540000457,88.68130611111111
Flicker Low,10,0.5147183537483215,0.5147183537483215,1.0,15.873015873015873,2.5515509044516134,2.5515509044516134,2.1196265,0.10736852425175637,0.4203439950077009,166.8586563015873
Flicker Medium,20,0.44778740406036377,0.44778740406036377,1.0,15.46031746031746,3.069745246920494,3.069745246920494,2.0626137,0.11855538044475114,0.48319193176000924,171.54723307936513
Flicker High,30,0.4305971562862396,0.4305971562862396,1.0,15.222222222222221,2.810039182126835,2.810039182126835,2.017022,0.11435153337856312,0.4554258897045031,170.3084856507936
Motion Blur Low,5,0.6137232184410095,0.6137232184410095,1.0,8.412698412698413,3.1082078872986987,3.1082078872986987,2.1628985,0.2520545692384419,0.8987515742378586,1754.6016686825399
Motion Blur Medium,10,0.8800275325775146,0.8800275325775146,1.0,4.174603174603175,4.158433442605441,4.158433442605441,2.0704548,0.45277492461153446,0.9264430459703029,1770.35518368254
Motion Blur High,15,0.9308884739875793,0.9308884739875793,1.0,2.0952380952380953,2.388647427881912,2.388647427881912,2.0331933,0.47889335240239705,0.9589145930450764,1760.2344645873015
Temporal Gaussian Low,5,0.47539475560188293,0.47539475560188293,1.0,14.682539682539682,4.702323625758126,4.702323625758126,1.8136569,0.27075847797740316,0.505193122354461,1815.6128017301585
Temporal Gaussian Medium,10,0.7234368324279785,0.7234368324279785,1.0,13.285714285714286,4.524318449471389,4.524318449471389,1.7007214,0.2830406741562671,0.9347313870672969,1758.8054480158733
Temporal Gaussian High,15,0.4634160101413727,0.4634160101413727,1.0,11.095238095238095,2.860071385788318,2.860071385788318,1.5978966,0.34243440781663,0.9641079010252968,1828.9602263174604
Gaussian Low,5,0.5006551146507263,0.5006551146507263,1.0,18.3015873015873,2.3059154765093712,2.3059154765093712,2.0794094,0.07518068667049206,0.36589451653398625,1823.667509857143
Gaussian Medium,10,0.4975026249885559,0.4975026249885559,1.0,17.793650793650794,2.491031556428175,2.491031556428175,2.0595326,0.08020612593394834,0.3420341331803879,1822.9802385079363
Gaussian High,15,0.48379209637641907,0.48379209637641907,1.0,17.07936507936508,3.026382701752073,3.026382701752073,2.080087,0.09289962081486841,0.5314570063128854,1916.2031738095236
